train_times,optimize_round,psnr,ssim,lpips
0,122,13.1343,0.537649,0.504399
4,126,21.4772,0.780298,0.387376
8,130,23.0937,0.804019,0.309621
12,134,23.6222,0.81939,0.267044
16,138,23.2165,0.829524,0.244295
20,143,23.7263,0.829797,0.235738
24,147,24.8167,0.846342,0.227725
28,151,24.2824,0.849201,0.210649
32,156,25.1068,0.851869,0.212797
36,163,24.8902,0.848922,0.205476
40,172,24.567,0.842585,0.202908
44,179,25.0096,0.853654,0.188456
48,184,25.5469,0.858391,0.194656
52,196,24.5341,0.846951,0.202382
56,203,25.3496,0.853694,0.197489
60,210,25.4096,0.861748,0.189409
64,219,25.1945,0.858478,0.189752
68,228,25.4749,0.862498,0.180569
72,235,25.5212,0.867238,0.170146
76,242,25.6097,0.86835,0.173407
80,253,25.7967,0.866078,0.174962
84,265,24.7636,0.86129,0.168384
88,276,25.786,0.871914,0.17708
92,282,26.1718,0.877171,0.166717
96,295,24.4608,0.861864,0.15682
100,312,24.034,0.860336,0.163217
104,327,24.8864,0.869151,0.15402
108,355,24.3274,0.856838,0.161124
112,377,25.2398,0.869139,0.164672
