train_times,optimize_round,psnr,ssim,lpips
0,17,16.1168,0.478969,0.39956
4,21,22.0515,0.77037,0.236904
8,25,21.609,0.788824,0.20813
12,29,22.7857,0.824483,0.164943
16,33,22.7072,0.823272,0.150825
20,37,23.4082,0.839147,0.140366
24,41,23.5966,0.844107,0.139541
28,45,23.604,0.844228,0.138571
32,49,24.0586,0.857006,0.131364
36,53,24.5209,0.856869,0.131118
40,57,24.3926,0.855452,0.130486
44,61,24.7341,0.864189,0.123671
48,65,24.4647,0.864231,0.120555
52,69,24.8103,0.868126,0.117948
56,73,25.09,0.869893,0.116974
60,77,25.3231,0.874685,0.114719
64,81,24.7837,0.866299,0.115351
68,85,24.8508,0.872032,0.113402
72,89,25.2418,0.876591,0.109624
76,93,24.8881,0.870557,0.114608
80,97,24.7303,0.867085,0.115659
84,101,25.042,0.870671,0.117324
88,105,24.8615,0.867625,0.117535
92,110,24.9437,0.869307,0.117806
96,116,24.9787,0.864995,0.121917
100,124,24.226,0.85444,0.124798
104,128,23.8045,0.859146,0.132197
108,133,23.9658,0.861161,0.136265
112,138,23.8767,0.860163,0.138302
116,143,23.9108,0.859205,0.137755
120,149,23.9404,0.861651,0.137043
124,153,24.2394,0.867492,0.133923
128,161,23.5963,0.852796,0.136649
132,170,23.6758,0.853987,0.134244
136,175,24.183,0.860396,0.136418
140,179,24.2706,0.871048,0.131436
144,186,24.4332,0.870649,0.128215
148,199,23.9634,0.854821,0.135678
152,209,23.6384,0.855942,0.134788
156,214,24.4228,0.869982,0.130049
160,226,24.1026,0.869927,0.122432
164,242,24.0025,0.86165,0.129438
168,253,24.0906,0.864445,0.131668
172,268,24.1685,0.866742,0.126232
176,290,23.8817,0.861189,0.126528
180,298,24.9245,0.878949,0.122357
184,313,24.1736,0.869416,0.128827
188,324,24.5998,0.865736,0.126948
192,343,24.9454,0.877551,0.118812
196,368,23.1031,0.836905,0.154067
200,382,23.0086,0.831542,0.166443
204,390,24.7153,0.865974,0.141753
