train_times,optimize_round,psnr,ssim,lpips
0,157,19.2828,0.793906,0.277351
4,161,22.4319,0.829451,0.237376
8,165,23.9811,0.840506,0.238515
12,169,24.8463,0.844378,0.223093
16,175,24.5392,0.841244,0.208247
20,185,24.5759,0.838896,0.192053
24,194,25.4959,0.845985,0.181289
28,201,25.5243,0.84543,0.182346
32,205,25.6185,0.850935,0.182825
36,220,24.8741,0.840171,0.177572
40,230,24.4253,0.844822,0.180778
44,240,24.9639,0.845322,0.176999
48,245,25.637,0.855275,0.180419
52,253,25.6835,0.851705,0.179176
56,262,25.4626,0.8489,0.175971
60,277,25.8503,0.848626,0.169356
64,285,25.6246,0.850182,0.171672
68,290,26.174,0.860838,0.172903
72,304,25.508,0.850485,0.173154
76,316,25.9666,0.852611,0.168842
80,333,25.8429,0.853876,0.168872
84,350,25.8503,0.849695,0.167772
88,360,25.9512,0.852481,0.168211
92,386,26.1318,0.855381,0.166869
