method,method_label,train_times,metric,mean,std,count
baseline,Baseline,136,psnr,26.541482,3.001738,90
baseline,Baseline,136,ssim,0.839330,0.074406,90
baseline,Baseline,136,lpips,0.129977,0.031410,90
baseline,Baseline,140,psnr,26.597270,3.016865,83
baseline,Baseline,140,ssim,0.846134,0.069706,83
baseline,Baseline,140,lpips,0.126688,0.030395,83
baseline,Baseline,144,psnr,26.378177,3.103679,81
baseline,Baseline,144,ssim,0.845250,0.068777,81
baseline,Baseline,144,lpips,0.126765,0.029966,81
baseline,Baseline,148,psnr,26.492076,3.113960,79
baseline,Baseline,148,ssim,0.849226,0.067396,79
baseline,Baseline,148,lpips,0.125641,0.029886,79
baseline,Baseline,152,psnr,26.364772,3.171786,78
baseline,Baseline,152,ssim,0.849335,0.067377,78
baseline,Baseline,152,lpips,0.125065,0.029460,78
baseline,Baseline,156,psnr,26.211225,2.955941,73
baseline,Baseline,156,ssim,0.848949,0.069817,73
baseline,Baseline,156,lpips,0.123644,0.029662,73
baseline,Baseline,160,psnr,26.043301,2.793033,70
baseline,Baseline,160,ssim,0.848113,0.071467,70
baseline,Baseline,160,lpips,0.122187,0.029944,70
baseline,Baseline,164,psnr,25.768126,2.756353,65
baseline,Baseline,164,ssim,0.844798,0.073493,65
baseline,Baseline,164,lpips,0.121865,0.030139,65
baseline,Baseline,168,psnr,25.375417,2.476329,58
baseline,Baseline,168,ssim,0.844604,0.065638,58
baseline,Baseline,168,lpips,0.121637,0.029896,58
baseline,Baseline,172,psnr,25.149250,2.251930,52
baseline,Baseline,172,ssim,0.841240,0.071375,52
baseline,Baseline,172,lpips,0.123169,0.030811,52
baseline,Baseline,176,psnr,24.823049,2.041994,47
baseline,Baseline,176,ssim,0.835227,0.070161,47
baseline,Baseline,176,lpips,0.124956,0.032485,47
baseline,Baseline,180,psnr,24.397788,1.965734,43
baseline,Baseline,180,ssim,0.833167,0.075686,43
baseline,Baseline,180,lpips,0.124471,0.032953,43
baseline,Baseline,184,psnr,24.541264,1.535971,39
baseline,Baseline,184,ssim,0.842074,0.058813,39
baseline,Baseline,184,lpips,0.121738,0.031160,39
baseline,Baseline,188,psnr,24.510869,1.550050,36
baseline,Baseline,188,ssim,0.841825,0.057941,36
baseline,Baseline,188,lpips,0.121933,0.031767,36
baseline,Baseline,192,psnr,24.698591,1.465206,35
baseline,Baseline,192,ssim,0.844281,0.059741,35
baseline,Baseline,192,lpips,0.121953,0.030583,35
baseline,Baseline,196,psnr,24.644582,1.581291,33
baseline,Baseline,196,ssim,0.844203,0.059471,33
baseline,Baseline,196,lpips,0.121397,0.029454,33
baseline,Baseline,200,psnr,24.589196,1.390275,28
baseline,Baseline,200,ssim,0.846246,0.049162,28
baseline,Baseline,200,lpips,0.122383,0.029122,28
baseline,Baseline,204,psnr,24.619521,1.015097,24
baseline,Baseline,204,ssim,0.852543,0.030518,24
baseline,Baseline,204,lpips,0.122341,0.022777,24
baseline,Baseline,208,psnr,24.674435,0.976263,17
baseline,Baseline,208,ssim,0.845648,0.042927,17
baseline,Baseline,208,lpips,0.118750,0.019788,17
baseline,Baseline,212,psnr,24.999207,1.112304,14
baseline,Baseline,212,ssim,0.851851,0.034756,14
baseline,Baseline,212,lpips,0.117825,0.021823,14
baseline,Baseline,216,psnr,24.471358,1.593332,12
baseline,Baseline,216,ssim,0.820061,0.067849,12
