Method,N,PSNR AUC@16,SSIM AUC@16,LPIPS AUC@16
Baseline,366,362.96 ± 44.54,12.251 ± 1.302,4.266 ± 0.978
Ours,370,370.57 ± 40.43,12.475 ± 1.149,4.033 ± 0.866
