train_times,optimize_round,psnr,ssim,lpips
0,157,18.9718,0.766241,0.28952
4,161,21.7269,0.836694,0.228183
8,165,22.226,0.846891,0.227805
12,169,24.9966,0.853076,0.204292
16,175,26.0645,0.856382,0.189978
20,183,25.6901,0.857953,0.18387
24,190,25.9327,0.855412,0.179441
28,197,25.9409,0.853392,0.175973
32,205,26.1329,0.858419,0.172625
36,213,26.3854,0.863201,0.169297
40,217,26.7313,0.868772,0.168382
44,224,26.5414,0.860774,0.164105
48,233,26.6386,0.867326,0.168015
52,244,26.0617,0.858219,0.165872
56,259,26.3577,0.861564,0.166357
60,269,26.4367,0.860518,0.164149
64,276,26.9027,0.873779,0.16214
68,286,26.8935,0.871734,0.165688
72,292,27.0463,0.873983,0.162095
76,304,26.6676,0.86419,0.16062
80,317,26.7477,0.867548,0.164721
84,334,27.1497,0.870531,0.157989
88,341,27.3245,0.873576,0.156726
92,352,27.3431,0.873088,0.160152
96,372,27.3867,0.873469,0.157912
