train_times,optimize_round,psnr,ssim,lpips
0,1,9.7761,0.0635521,0.721476
4,5,14.5942,0.433479,0.486976
8,9,19.8403,0.711105,0.268366
12,13,22.3475,0.758048,0.249666
16,17,22.6061,0.766258,0.240353
20,21,23.593,0.792884,0.222642
24,25,24.2308,0.80322,0.204976
28,29,24.5086,0.807672,0.19899
32,33,24.6608,0.80598,0.191156
36,37,24.8314,0.801998,0.182041
40,41,25.4006,0.812264,0.174073
44,45,25.8016,0.819261,0.168198
48,49,25.9088,0.818756,0.165516
52,53,25.8741,0.820564,0.161986
56,57,23.1373,0.810408,0.164607
60,61,23.2122,0.811676,0.161552
64,65,23.0807,0.808423,0.160343
68,69,23.649,0.809637,0.156253
72,73,25.0131,0.809809,0.154416
76,77,25.4181,0.815134,0.149726
80,81,25.855,0.813939,0.146609
84,85,25.6023,0.811556,0.145915
88,89,22.8319,0.807509,0.147538
92,93,23.1833,0.810481,0.145882
96,97,24.457,0.818026,0.145495
100,101,24.9898,0.814059,0.147185
104,105,23.4382,0.812165,0.145708
108,110,25.4712,0.821826,0.139956
112,114,25.9808,0.829177,0.136189
116,118,26.0492,0.825157,0.135648
120,122,26.3078,0.829575,0.132123
124,127,26.0091,0.826677,0.132609
128,133,24.3466,0.813597,0.137764
132,140,25.5904,0.827142,0.131388
136,149,25.7927,0.81983,0.132343
140,155,26.1958,0.825791,0.130423
144,160,26.6114,0.831189,0.125588
148,165,26.9348,0.838713,0.124883
152,171,23.8113,0.829043,0.128247
156,181,23.9192,0.819103,0.129744
160,192,25.1675,0.816362,0.128392
164,200,26.3034,0.827596,0.125713
168,210,26.5729,0.830682,0.122128
172,229,26.1427,0.820488,0.124937
176,240,26.1007,0.823936,0.123189
180,256,25.8087,0.81662,0.124923
184,269,26.0517,0.826903,0.122564
188,275,25.4632,0.829915,0.118794
192,298,25.9372,0.824332,0.121297
196,319,26.4617,0.833833,0.117502
200,331,25.1236,0.811224,0.125224
204,336,24.6484,0.844183,0.11686
208,355,25.6647,0.820787,0.12087
212,373,24.3144,0.817649,0.125942
216,385,22.2196,0.723823,0.195883
