train_times,optimize_round,psnr,ssim,lpips
0,1,12.3393,0.161945,0.641374
4,5,21.4814,0.653838,0.372051
8,9,23.3527,0.73868,0.287328
12,13,24.471,0.781623,0.231778
16,17,23.6993,0.793413,0.198281
20,21,24.6367,0.817502,0.170848
24,25,25.3709,0.827729,0.163177
28,29,26.2685,0.834852,0.156852
32,33,26.1676,0.825891,0.152006
36,37,26.6317,0.835744,0.148833
40,41,26.9358,0.839913,0.137412
44,45,26.9453,0.839855,0.135266
48,49,27.2928,0.845548,0.134204
52,53,26.4863,0.839738,0.133418
56,57,23.1381,0.832085,0.136189
60,61,23.7818,0.824963,0.140744
64,65,24.8209,0.828417,0.13771
68,69,25.7534,0.83523,0.134124
72,73,22.5279,0.822892,0.136503
76,77,23.9972,0.830532,0.13526
80,81,25.4712,0.831202,0.129363
84,85,26.1329,0.840262,0.123705
88,89,26.2587,0.839624,0.123992
92,93,26.5399,0.846649,0.121396
96,97,26.1992,0.84062,0.122962
100,101,26.2989,0.842993,0.122361
104,105,26.0772,0.843812,0.122946
108,109,26.3802,0.847323,0.120657
112,113,26.6779,0.844704,0.12035
116,118,27.1203,0.852147,0.116786
120,122,27.2359,0.856911,0.114165
124,128,26.6457,0.84872,0.116241
128,133,26.7889,0.84978,0.115205
132,137,26.5149,0.852434,0.114275
136,142,26.4761,0.850531,0.113921
140,147,26.5555,0.85421,0.112548
144,156,25.1487,0.831493,0.117065
148,164,26.7347,0.855426,0.110122
152,175,26.8115,0.85139,0.112802
156,186,26.1955,0.838849,0.115896
160,195,25.2677,0.841816,0.114561
164,202,26.3285,0.856317,0.110649
168,213,27.3482,0.857645,0.108342
172,221,27.6928,0.864411,0.107521
176,234,27.3036,0.852806,0.107818
180,250,26.0993,0.841179,0.110385
184,262,26.7415,0.849942,0.109302
188,275,27.3103,0.861186,0.106205
192,294,27.3817,0.856213,0.107138
196,304,26.2088,0.852461,0.10834
200,314,27.0163,0.847011,0.108324
204,332,25.7967,0.8367,0.11208
208,353,26.375,0.844618,0.108988
212,385,21.9849,0.714125,0.185238
